rap;pt;Model_CtauTrueRes_Pbp;Model_CtauTrue_Pbp;lambdaDSS_Psi2SNoPR_Pbp;
-2.4--1.97;3.0-5.0;Delta;SingleSidedDecay;[0.1,0.01,1.0];
-2.4--1.97;4.0-5.0;Delta;SingleSidedDecay;[0.1,0.01,1.0];
-2.4--1.97;5.0-6.5;Delta;SingleSidedDecay;[0.1,0.01,1.0];
-2.4--1.97;6.5-10.0;Delta;SingleSidedDecay;[0.1,0.01,1.0];
-2.4--1.97;5.0-10.0;Delta;SingleSidedDecay;[0.1,0.01,1.0];
-2.4--1.97;10.0-30.0;Delta;SingleSidedDecay;[0.1,0.01,1.0];
-2.4--1.97;3.0-6.5;Delta;SingleSidedDecay;[0.1,0.01,1.0];
-2.4--1.97;4.0-6.5;Delta;SingleSidedDecay;[0.1,0.01,1.0];
-2.4--1.97;4.0-10.0;Delta;SingleSidedDecay;[0.1,0.01,1.0];
-2.4--1.97;6.5-30.0;Delta;SingleSidedDecay;[0.1,0.01,1.0];
-2.4--1.97;4.0-30.0;Delta;SingleSidedDecay;[0.1,0.01,1.0];
