rap;pt;Model_Psi2S_Pbp;alpha_Psi2S_Pbp;n_Psi2S_Pbp;
-2.4--1.97;3.0-5.0;SingleCrystalBall;[1.9];[2.1];
-2.4--1.97;4.0-5.0;SingleCrystalBall;[1.9];[2.1];
-2.4--1.97;5.0-6.5;SingleCrystalBall;[1.9];[2.1];
-2.4--1.97;6.5-10.0;SingleCrystalBall;[1.9];[2.1];
-2.4--1.97;5.0-10.0;SingleCrystalBall;[1.9];[2.1];
-2.4--1.97;10.0-30.0;SingleCrystalBall;[1.9];[2.1];
-2.4--1.97;3.0-6.5;SingleCrystalBall;[1.9];[2.1];
-2.4--1.97;4.0-6.5;SingleCrystalBall;[2.1];[2.1];
-2.4--1.97;4.0-10.0;SingleCrystalBall;[1.9];[2.1];
-2.4--1.97;6.5-30.0;SingleCrystalBall;[1.9];[2.1];
-2.4--1.97;4.0-30.0;SingleCrystalBall;[1.9];[2.1];
